"","lon","lat"
"200",-123.159103,47.355816
"201",-123.159079,47.355712
"202",-123.158974,47.355301
"203",-123.158974,47.355154
"204",-123.158942,47.355032
"205",-123.158942,47.354977
"206",-123.158942,47.354906
"207",-123.158948,47.354895
"208",-123.15899,47.354829
"209",-123.159047,47.354802
"210",-123.159156,47.354798
"211",-123.15924,47.354796
"212",-123.159523,47.354615
"213",-123.15958,47.354391
"214",-123.159459,47.354078
"215",-123.159229,47.353766
"216",-123.159217,47.353749
"217",-123.158491,47.353096
"218",-123.158144,47.352805
"219",-123.157652,47.352377
"220",-123.156966,47.351943
"221",-123.156133,47.351473
"222",-123.156022,47.351411
"223",-123.15561,47.351137
"224",-123.155441,47.350994
"225",-123.155401,47.350879
"226",-123.155409,47.350764
"227",-123.15553,47.350594
"228",-123.15553,47.350506
"229",-123.155474,47.350462
"230",-123.155352,47.350446
"231",-123.155215,47.350413
"232",-123.155175,47.350363
"233",-123.155175,47.350232
"234",-123.155167,47.350166
"235",-123.15507,47.350094
"236",-123.154957,47.350034
"237",-123.154836,47.34999
"238",-123.154764,47.349979
"239",-123.15461,47.34999
"240",-123.154457,47.350061
"241",-123.154215,47.350127
"242",-123.154094,47.350149
"243",-123.153981,47.350138
"244",-123.153738,47.350012
"245",-123.153569,47.350001
"246",-123.153512,47.349984
"247",-123.15344,47.349924
"248",-123.153359,47.349825
"249",-123.152948,47.349496
"250",-123.152794,47.349397
"251",-123.152585,47.349397
"252",-123.152528,47.349441
"253",-123.152512,47.349479
"254",-123.152552,47.349556
"255",-123.152536,47.349605
"256",-123.152447,47.349638
"257",-123.152342,47.349633
"258",-123.152221,47.34955
"259",-123.152092,47.349501
"260",-123.151907,47.349424
"261",-123.151818,47.349287
"262",-123.151576,47.349051
"263",-123.151407,47.348991
"264",-123.151027,47.348963
"265",-123.150812,47.348858
"266",-123.150801,47.348853
"267",-123.150664,47.348716
"268",-123.150656,47.348656
"269",-123.150503,47.348634
"270",-123.150325,47.348601
"271",-123.149946,47.348491
"272",-123.149591,47.348409
"273",-123.149502,47.348378
"274",-123.148396,47.348096
"275",-123.146996,47.347359
"276",-123.146184,47.347031
"277",-123.14547,47.346742
"278",-123.144094,47.345671
"279",-123.1439,47.34552
"280",-123.143515,47.34522
"281",-123.141844,47.344365
"282",-123.138719,47.343388
"283",-123.136364,47.342947
"284",-123.135419,47.342771
"285",-123.134974,47.342713
"286",-123.134678,47.342675
"287",-123.133741,47.342554
"288",-123.132804,47.342432
"289",-123.132793,47.342461
"290",-123.13268,47.342522
"291",-123.132543,47.342516
"292",-123.132462,47.342478
"293",-123.132438,47.342406
"294",-123.132463,47.342258
"295",-123.132608,47.342105
"296",-123.132652,47.342053
"297",-123.132842,47.341831
"298",-123.132867,47.341633
"299",-123.13273,47.341529
"300",-123.132536,47.341523
"301",-123.132431,47.341589
"302",-123.132415,47.341617
"303",-123.132455,47.341819
"304",-123.132406,47.341979
"305",-123.132229,47.34211
"306",-123.132003,47.342198
"307",-123.131922,47.342247
"308",-123.13193,47.342362
"309",-123.131978,47.342499
"310",-123.131881,47.342532
"311",-123.131655,47.342488
"312",-123.131559,47.342428
"313",-123.131552,47.342408
"314",-123.131526,47.342335
"315",-123.131559,47.342214
"316",-123.131567,47.342148
"317",-123.131535,47.342104
"318",-123.131406,47.342104
"319",-123.131115,47.342362
"320",-123.13108,47.342396
"321",-123.130864,47.342609
"322",-123.130695,47.34279
"323",-123.130557,47.342959
"324",-123.130517,47.343053
"325",-123.130541,47.343113
"326",-123.130597,47.343135
"327",-123.130711,47.343135
"328",-123.130807,47.343119
"329",-123.13088,47.343042
"330",-123.130977,47.342987
"331",-123.13109,47.342976
"332",-123.131211,47.342993
"333",-123.131316,47.343042
"334",-123.131493,47.343103
"335",-123.131808,47.343103
"336",-123.132139,47.343108
"337",-123.13226,47.343065
"338",-123.132413,47.342955
"339",-123.132607,47.342851
"340",-123.132728,47.342763
"341",-123.13289,47.342725
"342",-123.133261,47.342763
"343",-123.133471,47.342774
"344",-123.133632,47.34289
"345",-123.133777,47.342939
"346",-123.134132,47.342967
"347",-123.134278,47.342967
"348",-123.134536,47.342983
"349",-123.134794,47.343088
"350",-123.135181,47.343351
"351",-123.135472,47.343477
"352",-123.135794,47.343516
"353",-123.136093,47.343533
"354",-123.136335,47.343631
"355",-123.136448,47.343708
"356",-123.136633,47.343741
"357",-123.136876,47.343791
"358",-123.137134,47.34395
"359",-123.137319,47.344087
"360",-123.13769,47.344329
"361",-123.138029,47.344488
"362",-123.1384,47.344603
"363",-123.138602,47.34462
"364",-123.138747,47.344592
"365",-123.138884,47.344609
"366",-123.139013,47.344686
"367",-123.139086,47.344938
"368",-123.139005,47.34507
"369",-123.138835,47.345119
"370",-123.138706,47.345119
"371",-123.138521,47.345075
"372",-123.138287,47.344927
"373",-123.138093,47.344817
"374",-123.137916,47.344773
"375",-123.137674,47.344691
"376",-123.137367,47.344531
"377",-123.137101,47.344383
"378",-123.13698,47.344273
"379",-123.136899,47.344147
"380",-123.13677,47.344054
"381",-123.136553,47.343999
"382",-123.136004,47.343752
"383",-123.135818,47.343708
"384",-123.135439,47.343686
"385",-123.135213,47.343664
"386",-123.135068,47.343625
"387",-123.13485,47.343543
"388",-123.134665,47.343439
"389",-123.134374,47.343378
"390",-123.133317,47.34335
"391",-123.13142,47.343437
"392",-123.130686,47.343426
"393",-123.130008,47.343404
"394",-123.129685,47.343332
"395",-123.12954,47.343244
"396",-123.1295,47.343178
"397",-123.129484,47.343047
"398",-123.129549,47.343025
"399",-123.129637,47.343036
"400",-123.129766,47.343091
"401",-123.129903,47.343113
"402",-123.130065,47.343074
"403",-123.13013,47.343014
"404",-123.130267,47.342795
"405",-123.130251,47.342745
"406",-123.130154,47.34268
"407",-123.130041,47.34263
"408",-123.130001,47.342592
"409",-123.130001,47.342537
"410",-123.130082,47.342504
"411",-123.130251,47.342499
"412",-123.130493,47.342504
"413",-123.130671,47.342378
"414",-123.13089,47.342188
"415",-123.129733,47.342118
"416",-123.129402,47.342087
"417",-123.127896,47.341663
"418",-123.127567,47.341582
"419",-123.127369,47.341533
"420",-123.126487,47.341274
"421",-123.124468,47.341111
"422",-123.124182,47.341088
"423",-123.123352,47.341022
"424",-123.12188,47.340902
"425",-123.121092,47.340966
"426",-123.119905,47.34097
"427",-123.119079,47.340876
"428",-123.118439,47.340458
"429",-123.118039,47.339889
"430",-123.11796,47.339777
"431",-123.117882,47.339665
"432",-123.117594,47.338626
"433",-123.117528,47.338418
"434",-123.117507,47.337955
"435",-123.117477,47.337276
"436",-123.117474,47.337209
"437",-123.117344,47.334305
"438",-123.11743,47.333855
"439",-123.117806,47.33191
"440",-123.118541,47.329875
"441",-123.119977,47.328623
"442",-123.121248,47.328231
"443",-123.123778,47.328247
"444",-123.126265,47.329226
"445",-123.128109,47.329406
"446",-123.128973,47.329321
"447",-123.130174,47.328985
"448",-123.131314,47.328375
"449",-123.132299,47.328286
"450",-123.13246,47.328192
"451",-123.132545,47.328142
"452",-123.133261,47.327592
"453",-123.133435,47.327376
"454",-123.134437,47.326092
"455",-123.134503,47.326025
"456",-123.134553,47.325813
"457",-123.13476,47.325165
"458",-123.134795,47.325004
"459",-123.134839,47.324801
"460",-123.134742,47.324629
"461",-123.134646,47.324457
